Utterance,Emotion,,,,,,
"What you guys don't understand is, for us, kissing is as important as any part of it.",happy,,,,,,
"Yeah, right!.......Y'serious?",neutral,,,,,,
"Oh, yeah!",happy,,,,,,
Everything you need to know is in that first kiss.,happy,,,,,,
Absolutely.,happy,,,,,,
"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.",happy,,,,,,
"Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.",neutral,,,,,,
"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",angry,,,,,,
"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.",sad,,,,,,
....Are we still talking about sex?,happy,,,,,,
"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?",fearful,,,,,,
"Well, she has issues.",sad,,,,,,
Does she.,fearful,,,,,,
"He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!",angry,,,,,,
"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?",neutral,,,,,,
"Speaking of issues, isn't that your ex-wife?",angry,,,,,,
No. No.,fearful,,,,,,
"Yes, it is. Carol! Hi!",happy,,,,,,
Hi.,neutral,,,,,,
So.,neutral,,,,,,
"You look great. I, uh... I hate that.",fearful,,,,,,
Sorry. You look good too.,happy,,,,,,
"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh...",happy,,,,,,
A lesbian?,neutral,,,,,,
"Well... you never know. How's, um.. how's the family?",happy,,,,,,
"Marty's still totally paranoid. Oh, and, uh-",angry,,,,,,
"Why- why are you here, Carol?",fearful,,,,,,
I'm pregnant.,neutral,,,,,,
Pregnant?!,fearful,,,,,,
"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.",neutral,,,,,,
Hi.,neutral,,,,,,
"Ross, you remember Susan.",neutral,,,,,,
How could I forget?,angry,,,,,,
Ross.,neutral,,,,,,
"Hello, Susan. Good shake. Good shake. So, uh, we're just waiting for...?",neutral,,,,,,
Dr. Oberman.,neutral,,,,,,
..Dr. Oberman. Okay. And is he-,neutral,,,,,,
She.,neutral,,,,,,
#NAME?,neutral,,,,,,
"Yes, and she's very supportive.",neutral,,,,,,
"Okay, that's great. No, I'm- Oh.",neutral,,,,,,
Thanks.,neutral,,,,,,
"Quack, quack..",happy,,,,,,
Ross? That opens my cervix.,fearful,,,,,,
Barry?,neutral,,,,,,
C'mon in.,neutral,,,,,,
Are you sure?,fearful,,,,,,
"Yeah! It's fine, it's fine. Robbie's gonna be here for hours.",neutral,,,,,,
Huh?!,fearful,,,,,,
"So, how ya doin?",happy,,,,,,
I'm- uh- I'm okay... You look great!,sad,,,,,,
"Yeah, well..",neutral,,,,,,
"Dr. Farber, Jason Greenstein's gagging.",neutral,,,,,,
Be right there. Be back in a sec.,neutral,,,,,,
I dumped him.,sad,,,,,,
Okay.,neutral,,,,,,
Give me a 'for instance'.,angry,,,,,,
"Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?",fearful,,,,,,
Marlon-,happy,,,,,,
Marlon?!,angry,,,,,,
"-if it's a boy, Minnie if it's a girl.",happy,,,,,,
...As in Mouse?,angry,,,,,,
As in my grandmother.,neutral,,,,,,
Julia..,neutral,,,,,,
We agreed on Minnie.,happy,,,,,,
Sorry about that. So. What have you been up to?,neutral,,,,,,
"Oh, not much. I-I got a job.",fearful,,,,,,
"Oh, that's great.",happy,,,,,,
Why are- why are you so tanned?,fearful,,,,,,
"Oh, I, uh- I went to Aruba.",fearful,,,,,,
Oh no. You went on our honeymoon alone?,angry,,,,,,
"No. I went with, uh.. Now, this may hurt.",neutral,,,,,,
Me?!,neutral,,,,,,
No! I went with Mindy.,fearful,,,,,,
"Mindy?! My maid of honour, Mindy?!",angry,,,,,,
"Yeah, well, uh, we're kind of a thing now.",fearful,,,,,,
"Oh! Well, um.. You've got plugs!",angry,,,,,,
Careful! They haven't quite taken yet.,angry,,,,,,
And you've got lenses! But you hate sticking your finger in your eye!,angry,,,,,,
"Not for her. Listen, I really wanted to thank you.",happy,,,,,,
Okay..,angry,,,,,,
"See, about a month ago, I wanted to hurt you. More than I've ever wanted to hurt anyone in my life. And I'm an orthodontist.",neutral,,,,,,
Wow.,fearful,,,,,,
"You know, you were right? I mean, I thought we were happy. We weren't happy. But with Mindy, now I'm happy. Spit.",happy,,,,,,
What?,fearful,,,,,,
Me.,sad,,,,,,
"Anyway, um, I guess this belongs to you. And thank you for giving it to me.",sad,,,,,,
"Well, thank you for giving it back.",sad,,,,,,
Hello?!,fearful,,,,,,
"Oh, please! What's wrong with Helen?",angry,,,,,,
Helen Geller? I don't think so.,angry,,,,,,
Hello? It's not gonna be Helen Geller.,happy,,,,,,
Thank you!,happy,,,,,,
"No, I mean it's not Geller.",happy,,,,,,
"What, it's gonna be Helen Willick?",angry,,,,,,
"No, actually, um, we talked about Helen Willick-Bunch.",neutral,,,,,,
"Well, wait a minute, wha- why is she in the title?",angry,,,,,,
It's my baby too.,happy,,,,,,
"Oh, 's'funny, really? Um, I don't remember you making any sperm.",angry,,,,,,
"Yeah, and we all know what a challenge that is!",angry,,,,,,
"All right, you two, stop it!",angry,,,,,,
"No no no, she gets a credit, hey, I'm in there too.",angry,,,,,,
Ross. You're not actually suggesting Helen Willick-Bunch-Geller? 'Cause I think that borders on child abuse.,neutral,,,,,,
"Of course not, I'm... suggesting Geller-Willick-Bunch.",happy,,,,,,
"Oh, no, nonononono, you see what he's doing? He knows no-one's gonna say all those names, so they'll wind up calling her Geller, then he gets his way!",angry,,,,,,
Knock knock!How are we today? Any nausea?,neutral,,,,,,
Yeah. Yeah. A little.,neutral,,,,,,
"Well, I was just wondering about the mother-to-be, but.. thanks for sharing. Uh, lie back..",neutral,,,,,,
Oh my God.,happy,,,,,,
Look at that.,happy,,,,,,
I know.,happy,,,,,,
Well? Isn't that amazing?,happy,,,,,,
What are we supposed to be seeing here?,neutral,,,,,,
"I dunno, but.. I think it's about to attack the Enterprise.",happy,,,,,,
"You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato.",happy,,,,,,
"Then don't do that, alright?",angry,,,,,,
Okay!,neutral,,,,,,
Monica. Whaddya think?,neutral,,,,,,
Mm-hmm.,sad,,,,,,
Wh- are you welling up?,neutral,,,,,,
No.,neutral,,,,,,
"You are, you're welling up.",happy,,,,,,
Am not!,angry,,,,,,
You're gonna be an aunt.,happy,,,,,,
Oh shut up!,happy,,,,,,
Hi guys!,happy,,,,,,
"Hey, Pheebs! Hi!",happy,,,,,,
"Hey. Oh, oh, how'd it go?",happy,,,,,,
Ohh. Ouch.,sad,,,,,,
"Uh, no. Loosely translated 'We should do this again' means 'You will never see me naked'.",neutral,,,,,,
Since when?,neutral,,,,,,
"Since always. It's like dating language. Y'know, like 'It's not you' means 'It is you'.",neutral,,,,,,
"Or, or, y'know, um, 'I think we should see other people' means 'Ha, ha, I already am'.",angry,,,,,,
And everybody knows this?,neutral,,,,,,
Yeah. Cushions the blow.,neutral,,,,,,
"Yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm.",neutral,,,,,,
"That's funny, that, no, because, uh, our parents actually did, uh, send our dog off to live on a farm.",neutral,,,,,,
"Uh, Ross.",neutral,,,,,,
"""So how does it feel knowing you're about to die?""",neutral,,,,,,
