Utterance,Emotion
also I was the point person on my company’s transition from the KL-5 to GR-6 system.,neutral
You must’ve had your hands full.,neutral
That I did. That I did.,neutral
So let’s talk a little bit about your duties.,neutral
My duties?  All right.,surprised
"Now you’ll be heading a whole division, so you’ll have a lot of duties.",neutral
I see.,neutral
But there’ll be perhaps 30 people under you so you can dump a certain amount on them.,neutral
Good to know.,neutral
We can go into detail,neutral
No don’t I beg of you!,fearful
"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.",neutral
Really?!,surprised
Absolutely.  You can relax,neutral
But then who? The waitress I went out with last month?,surprised
You know? Forget it!,sad
"No-no-no-no, no! Who, who were you talking about?",surprised
"No, I-I-I-I don't, I actually don't know",fearful
Ok!,neutral
"All right, well...",neutral
"Yeah, sure!",neutral
"Hey, Mon.",neutral
Hey-hey-hey. You wanna hear something that sucks.,neutral
Do I ever.,happy
Chris says they’re closing down the bar.,sad
No way!,surprised
"Yeah, apparently they’re turning it into some kinda coffee place.",neutral
Just coffee! Where are we gonna hang out now?,disgusted
Got me.,sad
Can I get a beer.,neutral
"Hey, did you pick a roommate?",neutral
You betcha!,happy
Is it the Italian guy?,neutral
"Um-mm, yeah right!",happy
"Oh my God, oh my God! Poor Monica!",surprised
"What, what, what?!",surprised
What?!,surprised
He was with her when he wrote this poem.,neutral
"Look,  'My vessel so empty with nothing inside.",neutral
"Now that I've touched you, you seem emptier still.'",neutral
"He thinks Monica is empty, she is the empty vase!",surprised
"Oh, totally. Oh, God, oh, she seemed so happy too.",sad
What?!,surprised
He was with her when he wrote this poem.,neutral
"Look,  'My vessel so empty with nothing inside.",neutral
"Now that I've touched you, you seem emptier still.'",neutral
"He thinks Monica is empty, she is the empty vase!",surprised
"Oh, totally. Oh, God, oh, she seemed so happy too.",sad
Done.,neutral
Hey!,surprised
Hi!,happy
What are you doing here?,surprised
"Ah y'know, this building is on my paper route so I...",neutral
Oh.,neutral
Hi.,neutral
Hi.,neutral
How’d did it go?,neutral
"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.",happy
I’m so proud of you.,happy
Me too!,happy
"Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so...",sad
I know.,neutral
Yeah.,neutral
Yeah.,neutral
Ameri-can.,neutral
Ameri-ccan.,neutral
Ameri-can. Y'know it’s a,neutral
Ameri-can. Y'know it’s a,neutral
Everybody!!,surprised
Good job Joe! Well done! Top notch!,happy
You liked it? You really liked it?,surprised
"Oh-ho-ho, yeah!",happy
Which part exactly?,neutral
The whole thing! Can we go?,neutral
"Oh no-no-no, give me some specifics.",angry
"I love the specifics, the specifics were the best part!",happy
"Hey, what about the scene with the kangaroo? Did-did you like that part?",neutral
I was surprisedd to see a kangaroo in a World War I epic.,surprised
You fell asleep!!,angry
There was no kangaroo!,angry
They didn’t take any of my suggestions!,angry
That’s for coming buddy.,neutral
I’ll see you later.,neutral
Don’t go!,sad
I’m sorry.,sad
I’m so sorry!,sad
Look!,surprised
This guy fell asleep!,angry
He fell asleep too!,angry
Be mad at him!,angry
"Or, call an ambulance.",angry
"Okay, look, I think we have to tell Rachel she messed up her dessert.",neutral
"What?! What is with everybody? It’s Thanksgiving, not...Truth-Day!",angry
"Yes, and it is my dying wish to have that ring.",neutral
"See, if I’m not buried with that ring then my spirit is going to wander the nether world for all eternity",neutral
"Okay, that’s enough honey!",neutral
"Okay, that’s enough honey!",neutral
I don’t know.  Let me see the ring.,neutral
"Great! Okay, here.",happy
All right.,neutral
Thank you. Thank you. Thank you!  And,happy
What've you been up to?,neutral
"Oh, you know, the usual, teaching aerobics, partying way too much.",neutral
"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",neutral
Can you hold on a moment? I have another call.  I love her.,happy
I'm back.,neutral
"So, are we gonna get together or what?",neutral
"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",neutral
"Great, I'll see you then.",neutral
Ok.  Ok. Having a phone has finally paid off.,happy
Can you hold on a moment? I have another call.  I love her.,happy
I know.,neutral
I'm back.,neutral
Ok.  Ok. Having a phone has finally paid off.,happy
"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",neutral
"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry strangry at the next table.",neutral
Oh my god. You are pure evil.,disgusted
"Ok, pure evil , horny and alone . I've done this",angry
Nobody!,angry
Nobody respects the bucket!,angry
You wouldn't believe what people put in here!,angry
Look!,angry
"Okay, does this look like a garbage can to you?",angry
No.,neutral
This is my wedding.,neutral
"All right, y’know what? We really are late! Let’s go! Let’s go! Let’s go!!",angry
Fine. You’ll-you’ll watch it on video when we get back.,neutral
Fine. You’ll-you’ll watch it on video when we get back.,neutral
Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,happy
Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,happy
Thank you.,neutral
Thank you.,neutral
Thank you.,neutral
Thank you.,neutral
"All right, let’s go! Bye, Pheebs!",happy
"All right, let’s go! Bye, Pheebs!",happy
"Bye, Pheebs!",happy
London baby!!,happy
Thank you.,neutral
Thank you.,neutral
"Bye, Pheebs!",happy
London baby!!,happy
"Oh, do you need a hug? You don’t have to bring me anything!",happy
Hey!,neutral
Hey! So Estelle lined up a bunch of auditions for me tomorrow and I’ll have my health insurance back in no time.,happy
"That’s great, but shouldn’t you be on the toilet right now?",disgusted
What?!,surprised
What’s wrong with you?,disgusted
Nothing!,neutral
"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven’t been able to stand up since.",fearful
"But um, I don’t think it’s anything serious.",neutral
This sounds like a hernia. You have to—you-you go to the doctor!,surprised
"No way! ‘Kay look, if I have to go to the doctor for anything it’s gonna be for this thing sticking out of my stomach!",fearful
That’s a hernia.,disgusted
Why did I have to start working out again?  Damn you 15s!,angry
I love your place! Where is this guy from?,happy
Uh that’s an eighteenth century Indian artifact from Calcutta.,neutral
"Oh wow! So, you’re more than just dinosaurs.",surprised
So much more.,neutral
"Well, well to sum up, we’re having fun, you look young.",neutral
Okay,neutral
But that’s not enough. So… So…here’s a key to my apartment.,neutral
Really?!,surprised
Really.,neutral
You don’t think this is too fast.,neutral
Get Out!,angry
"Ross, can I talk to you for a minute?",neutral
"Yes, please!  So, what's going on?",neutral
"Uh, well... Joey and I broke up.",sad
"Oh my God, wh-what happened?",surprised
"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",sad
I knew that was him!,angry
"Anyway I just, uh, I think it's for the best.",sad
"Hey, you ok?",neutral
I guess.,sad
There was hum...  there was another reason that I thought it was time to end it with Joey.,neutral
I started to realize that I was having feelings for someone  else.,neutral
"Oh, professor Clerk we're kind of in the middle of a conversation, here.",neutral
"Yeah, can you guys just throw him in the pool later?",neutral
"Ok, gentlemen!",angry
Please!,angry
Aren't we a little old for this?,angry
"I mean, we're scientists, right?",neutral
We're academics.,angry
And most importantly I... you-you will have to catch us first.,happy
"GO, GO, GO!",happy
I guess.,sad
There was hum...  there was another reason that I thought it was time to end it with Joey.,neutral
I started to realize that I was having feelings for someone  else.,neutral
"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.",neutral
"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.",neutral
"Oh, professor Clerk we're kind of in the middle of a conversation, here.",neutral
"Ok, gentlemen!",angry
Please!,angry
Aren't we a little old for this?,angry
"I mean, we're scientists, right?",neutral
We're academics.,angry
And most importantly I... you-you will have to catch us first.,happy
"GO, GO, GO!",happy
I guess.,sad
There was hum...  there was another reason that I thought it was time to end it with Joey.,neutral
I started to realize that I was having feelings for someone  else.,neutral
"Yeah, can you guys just throw him in the pool later?",neutral
Or we could throw you both in,happy
Or we could throw you both in,happy
"Ok, gentlemen!",angry
Please!,angry
Aren't we a little old for this?,angry
"I mean, we're scientists, right?",neutral
We're academics.,angry
And most importantly I... you-you will have to catch us first.,happy
"GO, GO, GO!",happy
"Go, go, go!",happy
"Oh yeah, now everybody wants to be under this hat!",happy
"Oh yeah, now everybody wants to be under this hat!",happy
Oy!!,disgusted
Oy!!,disgusted
What’s with all this sand?,surprised
"Oh, yeah, Bob said there might be flood damage.",neutral
"Oh, yeah, Bob said there might be flood damage.",neutral
"Yeah, either that, or he has a really big cat.",neutral
"Okay, see that blind guy right there? I'm gonna bash his head in later.",angry
"Oh umm, my big scene is coming up. Big scene coming up.",happy
"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",neutral
"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",neutral
Rach? What are you doing?,neutral
Rach? What are you doing?,neutral
"Oh boy, I just can't watch. It's too scary!",fearful
It's a diaper commercial.,neutral
"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",fearful
"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",fearful
Pizza delivery!,happy
Pizza delivery!,happy
I'll get it! I will get that!,happy
Hi!,happy
Hi!,happy
"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?",neutral
"Uhh, the ball thing.",neutral
Yeah?,neutral
"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",happy
"Uhh,",neutral
Okay!,happy
Uh-oh.,fearful
What?,neutral
I have to pee. And Rachel's in the bathroom!,sad
"Man, I didn't think we were gonna make it!",surprised
"I know!  Don't switch hands, okay?",fearful
Hey.,neutral
Hey!,neutral
How did it go with Erin?,neutral
"Oh, unbelievable! We had the best time!",happy
No!,happy
No!,happy
No!,happy
You guys were totally right!,happy
This is so much better than the first time we went out.,happy
Y’know?,neutral
"That was so awkward, we were really nervous.",neutral
"Yeah, that really calms me down.",neutral
And!,happy
We have so much in common!,happy
"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that’s a",happy
"Oh my God! Listen to you talkin’ about having kids. Oh my Joey.  Oh, please don’t get married before I do.",surprised
Okay.,neutral
"Oh, unbelievable! We had the best time!",happy
"Yay!! Oh so, you’re not, you’re not mad at us anymore?",happy
No!,happy
No!,happy
No!,happy
You guys were totally right!,happy
This is so much better than the first time we went out.,happy
Y’know?,neutral
"That was so awkward, we were really nervous.",neutral
Didn’t you sleep together?,neutral
"Yeah, that really calms me down.",neutral
And!,happy
We have so much in common!,happy
"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that’s a",happy
How does she do that?,surprised
I cannot sleep in a public place.,neutral
Would you look at her? She is so peaceful.,happy
"It's okay, y'know, you just nodded off again.",neutral
What's going on with you?,surprised
Would you look at her? She is so peaceful.,happy
Oh! What what what! ...Hi.,surprised
What's going on with you?,surprised
I got no sleep last night!,angry
"My grandmother has this new boyfriend, and they're both kind of insecure in bed.",disgusted
"Oh, and deaf.",neutral
"So they're constantly, like, having to reassure each other that they're having a good time.",neutral
You have no idea how loud they are!,disgusted
"Well, if you want, you can stay with Rachel and me tonight.",neutral
Thanks.,happy
Oh! What what what! ...Hi.,surprised
"It's okay, y'know, you just nodded off again.",neutral
I got no sleep last night!,angry
Why?,neutral
"My grandmother has this new boyfriend, and they're both kind of insecure in bed.",disgusted
"Oh, and deaf.",neutral
"So they're constantly, like, having to reassure each other that they're having a good time.",neutral
You have no idea how loud they are!,disgusted
Ew! What is that? Something exploded!,disgusted
"It's just her water breaking. Calm down, will you?",neutral
"Water breaking, what do you mean? What's that, water breaking?",surprised
"Breathe, breathe, breathe.",neutral
"Are you insane? I mean Joey, is going to kill you, he’s actually going to kill you dead.",surprised
Okay! You don’t think I thought of that?,angry
"No, no, no, that’s Dina.",neutral
"You see you can’t tell which one is which either, dwha!!",surprised
Okay! You don’t think I thought of that?,angry
How can you not know which one?,surprised
How can you not know which one?,surprised
I mean that’s unbelievable.,happy
I mean that’s unbelievable.,happy
"I mean, was it Gina?",neutral
"Dark, big hair, with the airplane earrings.",neutral
"No, no, no, that’s Dina.",neutral
"I mean, was it Gina?",neutral
Which one is Gina?,neutral
Which one is Gina?,neutral
"Dark, big hair, with the airplane earrings.",neutral
"I don’t know, you thought ‘See you Saturday’ was funny.",neutral
"Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with.",neutral
You guys would never want to go to a lecture with me.,neutral
Pa-haa!! I would love to go with you.,happy
Really!?,surprised
"Yeah, hey I-I have clothes, I even pick them out.",neutral
"I mean for, for all you know I could be a fashion..... monger.",neutral
"Okay. Honey, I would love for you to go with me.  What?",happy
"What should I wear, now I’m all nervous.",fearful
": I know, we did it!! Hey, that was incredible, huh?!",happy
"I know, it was amazing! I mean, we totally nailed it, it was beautiful.",happy
": Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball.",happy
"Oh well, okay, good luck.",happy
: Yeah.,neutral
Unless you wanna practice the Foxtrot again? Or-or the Tango?,neutral
": Ahh, thanks but no. You see I-I think I’m ready to dance with girls.",neutral
Okay.,neutral
: Yeah.,neutral
Go get ‘em Treeger.,neutral
": Right.  Hey, ahh, you wanna come? Marge has a girlfriend.",neutral
Really?,surprised
": Yeah, you could dance real good with her, she’s the same size as me.",neutral
"No, I’m good.",neutral
"Oh God, this is so nerve wracking! How-how do you do this?",surprised
"Well, unfortunately, I don't get many callbacks so",neutral
Yes!! I knew it!!  Bye-bye! So long! Later!,happy
Oh this is great! I might actually get to play Ben's dad!,happy
Yeah!,happy
"Man, this is gonna be kinda weird.",sad
"Yeah, it is.",neutral
"No, we-we're gonna be like best friends, that's why it's gonna be weird.",neutral
"Well, unfortunately, I don't get many callbacks so",neutral
Is it a good sign that they asked us to hang around after the audition?,surprised
Who knows?,neutral
Who knows?,neutral
"Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much.",neutral
"Actually, that can't happen.",neutral
"Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben.",neutral
So it'll be either you two  or you two.,neutral
"Man, this is gonna be kinda weird.",sad
"Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much.",neutral
Yes!! I knew it!!  Bye-bye! So long! Later!,happy
Yeah!,happy
"Actually, that can't happen.",neutral
"Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben.",neutral
So it'll be either you two  or you two.,neutral
"Yeah, it is.",neutral
"No, we-we're gonna be like best friends, that's why it's gonna be weird.",neutral
"Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue.",sad
"Okay, all right, all right, all right! Okay!  Okay, here's something, here's something blue and new.",happy
Please!,angry
Are you kidding?,angry
"I-I hurt three huge men, I gave a guy a bloody nose—I mean I-I’m not proud of it but, I really am.",angry
"And it’s all because of you, wonderful, amazing you.",happy
I think you’ve got concussion.,fearful
"No, no, I’m serious. Thank you.",happy
You’re welcome.  I’m sorry. Did I hurt you?,fearful
"It’s worth the pain.  Y’know what, you know what? It’s not.",sad
Wow! That Mike thing was interesting! I don't know what's gonna happen with Phoebe and David.,surprised
"I do! Want a hint? huh? ""I do""  ""I do"".",happy
"Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee.",neutral
David is going to propose to Phoebe.,happy
What?  Why?,surprised
"Chandler, we have talked about this.",angry
You are not supposed to give people advice!,angry
Now couldn't you just have made some sort of inappropriate joke?,angry
I,neutral
They've only been going out for a few weeks and Phoebe is completely hung up on Mike!,angry
"She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone",angry
"Man, that's some",surprised
"Man, that's some",surprised
"Oh, that's not what you want...",neutral
"This is my father, Paul Stevens. Dad, this is Ross Geller.",neutral
It-it’s great to meet you Paul.,happy
Okay.,neutral
"I can, I can see that.",neutral
"Umm, but I think if you give me umm, one chance I can, I can change your mind.",fearful
It-it’s great to meet you Paul.,happy
I usually prefer Elizabeth’s boyfriends to address me as Mr. Stevens.,neutral
"Of course, of course, Mr. Stevens.",neutral
"So Ross, what your problem?",angry
Eh-wh—Excuse me?,surprised
Why can’t you get a girlfriend your own age?,angry
That’s funny. Umm….  It’s not funny.,fearful
I,neutral
Okay.,neutral
"I can, I can see that.",neutral
"Umm, but I think if you give me umm, one chance I can, I can change your mind.",fearful
Okay.,neutral
What?,neutral
Okay. I’ll give you one chance to change my mind.  You got one minute.,angry
Okay. I’ll give you one chance to change my mind.  You got one minute.,angry
Daddy!,surprised
"Oh well, it’s not on TV yet.",neutral
"Well, then it’s not on the wall yet.",neutral
"Okay, fine, I will bring you a tape, huh?",neutral
"Okay, fine, I will bring you a tape, huh?",neutral
